trial_index,trial_id,model,scenario_index,profile_id,baseline,prompt_order,repetition,raw_output,parsed_choice
1,gemma4:e2b|0||True|options_first|0,gemma4:e2b,0,,True,options_first,0,B,B
6,gemma4:e2b|1||True|scenario_first|0,gemma4:e2b,1,,True,scenario_first,0,B,B
12,gemma4:e2b|2||True|scenario_first|0,gemma4:e2b,2,,True,scenario_first,0,B,B
18,gemma4:e2b|3||True|scenario_first|0,gemma4:e2b,3,,True,scenario_first,0,A,A
25,gemma4:e2b|4||True|options_first|0,gemma4:e2b,4,,True,options_first,0,B,B
30,gemma4:e2b|5||True|scenario_first|0,gemma4:e2b,5,,True,scenario_first,0,A,A
36,gemma4:e2b|6||True|scenario_first|0,gemma4:e2b,6,,True,scenario_first,0,C,C
42,gemma4:e2b|7||True|scenario_first|0,gemma4:e2b,7,,True,scenario_first,0,A,A
48,gemma4:e2b|8||True|scenario_first|0,gemma4:e2b,8,,True,scenario_first,0,C,C
54,gemma4:e2b|9||True|scenario_first|0,gemma4:e2b,9,,True,scenario_first,0,A,A
60,gemma4:e2b|10||True|scenario_first|0,gemma4:e2b,10,,True,scenario_first,0,D,D
66,gemma4:e2b|11||True|scenario_first|0,gemma4:e2b,11,,True,scenario_first,0,C,C
72,gemma4:e2b|12||True|scenario_first|0,gemma4:e2b,12,,True,scenario_first,0,D,D
78,gemma4:e2b|13||True|scenario_first|0,gemma4:e2b,13,,True,scenario_first,0,B,B
84,gemma4:e2b|14||True|scenario_first|0,gemma4:e2b,14,,True,scenario_first,0,B,B
90,gemma4:e2b|15||True|scenario_first|0,gemma4:e2b,15,,True,scenario_first,0,B,B
97,gemma4:e2b|16||True|options_first|0,gemma4:e2b,16,,True,options_first,0,B,B
102,gemma4:e2b|17||True|scenario_first|0,gemma4:e2b,17,,True,scenario_first,0,C,C
108,gemma4:e2b|18||True|scenario_first|0,gemma4:e2b,18,,True,scenario_first,0,C,C
114,gemma4:e2b|19||True|scenario_first|0,gemma4:e2b,19,,True,scenario_first,0,C,C
120,gemma4:e2b|20||True|scenario_first|0,gemma4:e2b,20,,True,scenario_first,0,F,F
126,gemma4:e2b|21||True|scenario_first|0,gemma4:e2b,21,,True,scenario_first,0,B,B
132,gemma4:e2b|22||True|scenario_first|0,gemma4:e2b,22,,True,scenario_first,0,D,D
